eventID,basisOfRecord,occurrenceID,individualCount,identificationVerificationStatus,scientificName,kingdom,vernacularName
VIS_311,HumanObservation,VIS_311,5,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_312,HumanObservation,VIS_312,3,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_313,HumanObservation,VIS_313,2,verified by experts,Blicca bjoerkna,Animalia,kolblei
VIS_314,HumanObservation,VIS_314,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_315,HumanObservation,VIS_315,2,verified by experts,Esox lucius,Animalia,snoek
VIS_322,HumanObservation,VIS_322,260,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_323,HumanObservation,VIS_323,2,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_324,HumanObservation,VIS_324,2,verified by experts,Abramis brama,Animalia,brasem
VIS_325,HumanObservation,VIS_325,20,verified by experts,Blicca bjoerkna,Animalia,kolblei
VIS_326,HumanObservation,VIS_326,1,verified by experts,Tinca tinca,Animalia,zeelt
VIS_327,HumanObservation,VIS_327,2,verified by experts,Leucaspius delineatus,Animalia,vetje
VIS_328,HumanObservation,VIS_328,6,verified by experts,Perca fluviatilis,Animalia,baars
VIS_329,HumanObservation,VIS_329,8,verified by experts,Esox lucius,Animalia,snoek
VIS_394,HumanObservation,VIS_394,2,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_396,HumanObservation,VIS_396,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_397,HumanObservation,VIS_397,2,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_398,HumanObservation,VIS_398,52,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_399,HumanObservation,VIS_399,2,verified by experts,Pungitius pungitius,Animalia,tiendoornige stekelbaars
VIS_400,HumanObservation,VIS_400,1,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_401,HumanObservation,VIS_401,3,verified by experts,Carassius gibelio,Animalia,giebel
VIS_402,HumanObservation,VIS_402,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_404,HumanObservation,VIS_404,16,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_405,HumanObservation,VIS_405,1,verified by experts,Carassius gibelio,Animalia,giebel
VIS_406,HumanObservation,VIS_406,3,verified by experts,Blicca bjoerkna,Animalia,kolblei
VIS_407,HumanObservation,VIS_407,92,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_408,HumanObservation,VIS_408,13,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_409,HumanObservation,VIS_409,2,verified by experts,Pungitius pungitius,Animalia,tiendoornige stekelbaars
VIS_410,HumanObservation,VIS_410,7,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_411,HumanObservation,VIS_411,2,verified by experts,Pungitius pungitius,Animalia,tiendoornige stekelbaars
VIS_413,HumanObservation,VIS_413,1,verified by experts,Perca fluviatilis,Animalia,baars
VIS_418,HumanObservation,VIS_418,50,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_419,HumanObservation,VIS_419,66,verified by experts,Barbatula barbatula,Animalia,bermpje
VIS_421,HumanObservation,VIS_421,50,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_422,HumanObservation,VIS_422,3,verified by experts,Barbatula barbatula,Animalia,bermpje
VIS_423,HumanObservation,VIS_423,1,verified by experts,Carassius gibelio,Animalia,giebel
VIS_424,HumanObservation,VIS_424,6,verified by experts,Cyprinus carpio,Animalia,karper
VIS_425,HumanObservation,VIS_425,45,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_427,HumanObservation,VIS_427,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_433,HumanObservation,VIS_433,50,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_434,HumanObservation,VIS_434,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_435,HumanObservation,VIS_435,71,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_436,HumanObservation,VIS_436,2,verified by experts,Carassius gibelio,Animalia,giebel
VIS_437,HumanObservation,VIS_437,4,verified by experts,Carassius auratus auratus,Animalia,goudvis
VIS_440,HumanObservation,VIS_440,25,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_441,HumanObservation,VIS_441,2,verified by experts,Tinca tinca,Animalia,zeelt
VIS_442,HumanObservation,VIS_442,1,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_443,HumanObservation,VIS_443,1,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_444,HumanObservation,VIS_444,1,verified by experts,Pseudorasbora parva,Animalia,blauwbandgrondel
VIS_445,HumanObservation,VIS_445,1,verified by experts,Carassius gibelio,Animalia,giebel
VIS_446,HumanObservation,VIS_446,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_447,HumanObservation,VIS_447,1,verified by experts,Carassius auratus auratus,Animalia,goudvis
VIS_449,HumanObservation,VIS_449,3,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_450,HumanObservation,VIS_450,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_451,HumanObservation,VIS_451,1,verified by experts,Barbatula barbatula,Animalia,bermpje
VIS_452,HumanObservation,VIS_452,4,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_453,HumanObservation,VIS_453,14,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_454,HumanObservation,VIS_454,5,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_455,HumanObservation,VIS_455,3,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
